Description,Price,Link,Image,Date,Model,Memory
"Apple Iphone 12 Pro Max - 6.7-Inch - 128Gb Rom, 6Gb Ram - Ios 14",880000,https://www.jumia.com.ng//apple-iphone-12-pro-max-6.7-inch-128gb-rom-6gb-ram-ios-14-252751565.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/56/5157252/1.jpg?1082,2025-03-13,iphone 12 pro,128GB
"Apple Iphone 15 Pro Max 6.7"" 512Gb Nano-Sim 5G - Natural Titanium",2000000,https://www.jumia.com.ng//apple-iphone-15-pro-max-6.7-512gb-nano-sim-5g-natural-titanium-382455486.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/68/4554283/1.jpg?3620,2025-03-13,iphone 15 pro max,512GB
"Apple Iphone 11 6.1-Inch Liquid Retina Lcd (4Gb Ram, 64Gb Rom) Ios 13, (12Mp+12Mp)+12Mp 4G Lte Smartphone-Nano Sim-Purple",755000,https://www.jumia.com.ng//apple-iphone-11-6.1-inch-liquid-retina-lcd-4gb-ram-64gb-rom-ios-13-12mp12mp12mp-4g-lte-smartphone-nano-sim-purple-104448856.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/65/8844401/1.jpg?7044,2025-03-13,iphone 11,64GB
Apple Iphone 16 Pro Max - 256Gb - Black Titanium,2100999,https://www.jumia.com.ng//apple-iphone-16-pro-max-256gb-black-titanium-384830549.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/94/5038483/1.jpg?5521,2025-03-13,iphone 16 pro max,256GB
"Apple Iphone 13 Pro 5G - 6.1"" 128Gb Rom, 6Gb Rom - Silver",950000,https://www.jumia.com.ng//apple-iphone-13-pro-5g-6.1-128gb-rom-6gb-rom-silver-271864427.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/72/4468172/1.jpg?6190,2025-03-13,iphone 13 pro,128GB
"Apple Iphone 12, 6.1-Inch 128Gb Rom 5G - Pacific Blue",755000,https://www.jumia.com.ng//iphone-12-6.1-inch-128gb-rom-5g-pacific-blue-apple-mpg1775182.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/26/0844801/1.jpg?7290,2025-03-13,iphone 12,128GB
"Apple Iphone 11 Pro Max 6.5-Inch Super Retina (4Gb Ram, 64Gb Rom),Ios 4G Lte Smartphone - Gold",755000,https://www.jumia.com.ng//iphone-11-pro-max-6.5-inch-4gb-ram-64gb-rom-4g-gold-apple-mpg4135278.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/81/7335121/1.jpg?5894,2025-03-13,iphone 11 pro max,64GB
"Apple Iphone 15 Pro Max 6.7""1Tb Ios 17 5G - Blue Titanium",2650999,https://www.jumia.com.ng//apple-iphone-15-pro-max-6.71tb-ios-17-5g-blue-titanium-302760125.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/52/1067203/1.jpg?5164,2025-03-13,iphone 15 pro max,1TB
"Apple Iphone 16 - 6.1"" Ios 18 - 128Gb A18 Bionic Super Retina Xdr Oled Display -5G",1449999,https://www.jumia.com.ng//iphone-16-6.1-ios-18-128gb-a18-bionic-super-retina-xdr-oled-display-5g-apple-mpg9613444.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/16/1130793/1.jpg?0107,2025-03-13,iphone 16,128GB
"Apple Iphone 14 Pro Max 6.7"" (256Gb Rom + 6Gb Ram) Nano Sim-Purple",1550000,https://www.jumia.com.ng//apple-iphone-14-pro-max-6.7-256gb-rom-6gb-ram-nano-sim-purple-321406095.html,https://ng.jumia.is/unsafe/fit-in/300x300/filters:fill(white)/product/59/0604123/1.jpg?0716,2025-03-13,iphone 14 pro max,256GB
